ID,Duration__in_seconds_,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,CRT7,CRT1perf,CRT2perf,CRT3perf,CRT4perf,CRT5perf,CRT6perf,CRT7perf,N1,N2,N3,N1perf,N2perf,N3perf,AOT_1,AOT_2,AOT_3,AOT_4,AOT_5,AOT_6,AOT_7,AOT_8,Climatoskepticism_1,Climatoskepticism_2,Climatoskepticism_3,Climatoskepticism_4,Climatoskepticism_5,Climatoskepticism_6,Climatoskepticism_7,Climatoskepticism_8,Climatoskepticism_9,Climatoskepticism_10,Climatoskepticism_11,Climatoskepticism_12,BeliefScience_1,BeliefScience_2,BeliefScience_3,BeliefScience_4,BeliefScience_5,BeliefScience_6,BeliefScience_7,BeliefScience_8,BeliefScience_9,BeliefScience_10,SciLit1,SciLit2,SciLit3,SciLit4,SciLit5,SciLit6,SciLit7,SciLit8,Gender,Gender_3_TEXT,Age,Ethnicity,Education,MaritalStatus,HouseholdIncome,Mturk,TrapQuestion,Completion,CRT,Numtotal,AOT,BeliefInSciencetotal,Literacy,Climato,filter,filter_$,AOTratio,CRTratio,CognitiveReflection,NumeracyLiteracyIndex
83,426,10 cents,5 minutes,36 days,second place,8,Emily,27,0,1,0,1,1,1,0,500,10,.10,1,1,0,4,4,5,5,3,4,4,4,1,1,1,1,1,1,1,2,1,1,2,1,5,6,4,4,4,4,3,4,5,6,1,1,0,0,0,1,1,1,2,NA,53,1,5,2,3,45506643,1,1,4,2,33,45,5,14,1,1,0.825,0.5714285714285714,0.6982142857142857,7
84,479,.10,5 minutes,47,Second,8,Emily,0,0,1,1,1,1,1,1,500,10,.001,1,1,1,3,4,3,5,3,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,5,5,4,5,5,6,1,1,0,1,1,1,0,1,2,NA,23,1,5,1,3,79614267,1,1,6,3,31,52,6,16,1,1,0.775,0.8571428571428571,0.8160714285714286,9
85,155,2.10,100,24,first,7,june,9,0,0,0,0,0,0,0,500,10,.01,1,1,0,2,3,3,2,4,2,3,4,3,4,3,4,3,2,5,2,4,2,3,2,3,4,3,5,4,3,4,2,4,3,1,1,1,1,1,1,1,1,2,NA,28,1,7,1,2,16883724,1,1,0,2,23,35,8,37,1,1,0.575,0,0.2875,10
87,361,.10,100,24,First,8,Emily,9,0,0,0,0,1,1,0,50,10,1,0,1,0,1,3,4,5,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,4,6,6,6,6,6,1,1,1,1,1,1,1,1,2,NA,55,1,5,2,3,13839733,1,1,2,1,25,58,8,12,1,1,0.625,0.2857142857142857,0.45535714285714285,9
88,559,.10,100,24,FIRST,7,JUNE,27,0,0,0,0,0,0,0,500,10,1,1,1,0,3,4,4,5,3,2,5,2,1,1,1,5,2,1,1,1,1,1,2,1,4,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,1,0,2,NA,55,1,5,2,6,39971554,1,1,0,2,28,18,7,18,1,1,0.7,0,0.35,9
89,389,.10,100 minutes,47 days,First place,7,June,3,0,0,1,0,0,0,0,500,10,.01,1,1,0,4,4,4,4,3,4,5,3,1,1,1,1,1,2,1,1,2,2,2,1,6,5,5,2,2,2,2,2,4,5,1,1,1,1,1,1,1,1,2,NA,58,1,8,3,3,7207218,1,1,1,2,31,35,8,16,1,1,0.775,0.14285714285714285,0.45892857142857146,10
90,518,.10,500 minutes,24,second place,8,June,9,0,0,0,1,1,0,0,500,10,1%,1,1,0,3,5,5,5,4,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,3,2,2,2,4,4,5,1,1,1,1,0,0,1,1,1,NA,40,1,8,1,5,76342510,1,1,2,2,35,31,6,12,1,1,0.875,0.2857142857142857,0.5803571428571428,8
91,331,0.05,5,47,1st,8,Emily,27,1,1,1,0,1,1,0,500,10,.1%,1,1,1,2,5,4,3,2,3,5,5,3,3,2,4,2,3,4,2,2,3,4,4,5,4,4,2,5,2,3,3,4,4,1,1,1,1,1,1,1,1,1,NA,24,5,8,1,2,74149019,1,1,5,3,29,36,8,36,1,1,0.725,0.7142857142857143,0.7196428571428571,11
92,231,.10,100,24,second,8,Emily,27,0,0,0,1,1,1,0,500,10,1%,1,1,0,3,4,4,4,3,3,3,3,4,4,4,2,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,0,1,1,2,NA,49,1,5,2,3,42264334,1,1,3,2,27,40,6,40,1,1,0.675,0.42857142857142855,0.5517857142857143,8
94,535,10 cents,1 min.,24 days,2nd place,8,Emily,3 cubic feet,0,0,0,1,1,1,0,half of the time,1,1,1,0,0,3,4,4,4,5,4,4,4,1,1,1,2,2,2,2,1,1,2,2,1,4,4,3,3,2,4,3,2,3,6,1,1,0,1,1,1,1,1,2,NA,39,1,8,2,3,60204133,1,1,3,1,32,34,7,18,1,1,0.8,0.42857142857142855,0.6142857142857143,8
95,653,$0.10,500 minutes,24,Second,8,Emily,27 cubic feet,0,0,0,1,1,1,0,300?,10,10 percent,0,1,0,3,5,5,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,4,6,3,4,5,6,4,5,6,1,1,1,1,1,1,1,1,2,NA,31,1,5,1,2,58158543,1,1,3,1,37,49,8,12,1,1,0.925,0.42857142857142855,0.6767857142857143,9
96,533,1.05,5,47,First,8,Emily,3,0,1,1,0,1,1,0,500,10,.01,1,1,0,3,2,4,3,4,4,2,3,1,3,1,1,1,1,1,1,1,1,1,1,5,2,5,4,3,4,4,5,4,5,1,1,1,1,1,1,1,1,2,NA,42,1,8,2,3,20893351,1,1,4,2,25,41,8,14,1,1,0.625,0.5714285714285714,0.5982142857142857,10
97,424,.10,1 minute,47,2nd place,8,emily,27,0,0,1,1,1,1,0,500,100,.1,1,0,0,2,4,2,4,2,2,4,2,2,2,1,1,1,2,2,2,1,2,1,2,4,3,4,4,3,4,4,3,4,5,1,1,1,0,1,1,1,1,2,NA,26,2,8,1,2,40808055,1,1,4,1,22,38,7,19,1,1,0.55,0.5714285714285714,0.5607142857142857,8
99,230,.10,5 minutes,24,second,7,June,27,0,1,0,1,0,0,0,500,.1,.1,1,0,0,4,4,5,4,3,2,4,3,2,2,2,3,2,2,2,2,2,2,2,2,5,5,5,5,5,6,6,5,5,5,1,1,0,1,1,1,1,1,2,NA,39,1,8,1,2,68151863,1,1,2,1,29,52,7,25,1,1,0.725,0.2857142857142857,0.5053571428571428,8
100,676,0.10,100,24,2,7,Emily,27,0,0,0,0,0,1,0,6,0.001,0.001,0,0,1,4,5,4,4,3,1,3,4,4,3,1,4,3,3,5,4,4,2,3,4,5,4,6,4,6,5,4,6,3,3,1,1,1,1,1,1,0,0,1,NA,36,3,8,2,3,95629462,1,1,1,1,28,46,6,40,1,1,0.7,0.14285714285714285,0.4214285714285714,7
101,542,.10,100 minutes,24,first,8,June,9,0,0,0,0,1,0,0,4,1,1,0,0,0,4,4,4,4,2,3,4,4,2,2,1,3,3,2,3,2,2,4,2,3,4,4,4,1,2,2,2,2,2,4,1,1,0,0,0,1,0,1,2,NA,54,1,5,5,3,52671853,1,1,1,0,29,27,4,29,1,1,0.725,0.14285714285714285,0.43392857142857144,4
102,210,.10,100,47,second,8,Emily,3,0,0,1,1,1,1,0,500,10,.01,1,1,0,2,4,4,3,1,2,4,3,4,2,2,3,2,3,3,5,4,2,3,3,5,4,5,5,2,4,4,3,5,4,1,1,1,1,1,1,1,0,2,NA,28,1,8,2,3,25609132,1,1,4,2,23,41,7,36,1,1,0.575,0.5714285714285714,0.5732142857142857,9
103,441,.10,100,24,1st,8,Emily,9,0,0,0,0,1,1,0,500,1%,1%,1,0,0,3,5,4,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,6,6,6,3,3,4,5,5,6,6,1,0,0,0,0,0,0,1,2,NA,36,1,8,1,1,91812257,1,1,2,1,37,50,2,13,1,1,0.925,0.2857142857142857,0.6053571428571429,3
105,423,.10,100,24,First Place,7,June,27,0,0,0,0,0,0,0,100,100,0.001,0,0,1,3,3,3,4,1,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,4,4,4,4,4,4,4,4,5,4,1,0,0,1,1,1,1,0,2,NA,48,2,8,2,2,12902505,1,1,0,1,23,41,5,33,1,1,0.575,0,0.2875,6
106,227,.10,100,28,second,7,june,27,0,0,0,1,0,0,0,6,60,50,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1,0,1,1,1,1,1,0,2,NA,35,5,4,2,2,63301788,1,1,1,0,24,40,6,36,1,1,0.6,0.14285714285714285,0.37142857142857144,6
108,117,10,5,47,second,8,emily,27,0,1,1,1,1,1,0,10,1,1,0,0,0,3,3,3,3,4,5,2,2,1,2,2,4,2,2,3,2,4,2,3,4,2,5,3,4,3,2,3,3,4,5,1,1,0,1,0,1,1,0,1,NA,27,1,5,2,2,83754255,1,1,5,0,25,34,5,31,1,1,0.625,0.7142857142857143,0.6696428571428572,5
109,310,.10,5,24,second,8,June,9,0,1,0,1,1,0,0,500,.01,.01,1,0,0,3,5,5,5,2,2,4,2,1,1,1,1,1,1,1,1,1,1,4,1,6,6,6,6,6,6,6,6,6,6,1,0,0,0,1,1,1,1,2,NA,52,1,7,5,2,82810413,1,1,3,1,28,60,5,15,1,1,0.7,0.42857142857142855,0.5642857142857143,6
111,637,.10,5,47,second,8,Emily,27,0,1,1,1,1,1,0,500,10,.001,1,1,1,3,3,2,4,3,3,4,2,2,2,2,3,2,2,2,2,2,2,2,2,5,5,4,4,2,2,2,4,4,4,1,1,1,1,1,1,1,0,1,NA,40,1,8,2,3,31461639,1,1,5,3,24,36,7,25,1,1,0.6,0.7142857142857143,0.6571428571428571,10
112,715,.10,5 minutes,36 days,first,8,Emily,27,0,1,0,0,1,1,0,500,10,.001%,1,1,0,4,5,3,5,2,5,5,2,1,1,1,1,1,1,1,1,1,2,4,2,6,4,6,6,6,3,5,6,6,6,1,1,1,0,1,1,0,0,2,NA,31,1,9,3,3,83537958,1,1,3,2,31,54,5,17,1,1,0.775,0.42857142857142855,0.6017857142857143,7
113,442,5 cents,5 minutes,47,second place,8,emily,27,1,1,1,1,1,1,0,500,10,.01,1,1,0,3,4,5,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,4,4,4,4,4,4,5,1,1,1,1,1,1,1,1,2,NA,57,1,9,2,4,90103061,1,1,6,2,36,44,8,13,1,1,0.9,0.8571428571428571,0.8785714285714286,10
114,787,.05,5 MINUTES,47,second,8,Emily,0,1,1,1,1,1,1,1,500,10,.1,1,1,0,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,2,2,1,3,2,2,5,5,4,3,4,3,4,5,5,1,1,1,1,1,1,1,1,1,NA,71,3,8,2,2,49316526,1,1,7,2,40,40,8,17,1,1,1,1,1,10
115,184,.05,5,47,Second,8,Emily,0,1,1,1,1,1,1,1,500,100,.01,1,0,0,3,5,4,4,3,3,4,2,4,4,4,2,4,4,4,4,5,4,4,5,1,2,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,NA,26,1,8,2,3,11378795,1,1,7,1,28,15,8,48,1,1,0.7,1,0.85,9
116,336,.10,100,12,1,8,Emily,9,0,0,0,0,1,1,0,500,10,.10,1,1,0,3,3,3,4,2,2,3,3,2,2,1,3,2,2,2,2,2,2,3,3,2,3,2,2,3,2,2,4,4,4,1,1,0,1,0,1,1,0,2,NA,37,1,6,2,2,27340207,1,1,2,2,23,28,5,26,1,1,0.575,0.2857142857142857,0.4303571428571428,7
117,587,.09,5 minutes,47,second place,8,Emily,9,0,1,1,1,1,1,0,500,10,0.01,1,1,0,3,5,4,4,2,2,3,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,2,1,2,4,2,3,4,3,1,1,1,1,1,1,1,1,1,NA,32,1,5,1,1,22713611,1,1,5,2,28,31,8,48,1,1,0.7,0.7142857142857143,0.7071428571428571,10
118,389,.10,5,12,first,8,June,27,0,1,0,0,1,0,0,500,10,0.001,1,1,1,3,4,4,4,2,3,4,4,1,1,1,1,1,1,1,1,1,2,3,2,5,5,5,3,4,4,4,5,5,5,1,0,0,0,1,0,1,0,2,NA,69,3,8,4,3,89980611,1,1,2,3,28,45,3,16,1,1,0.7,0.2857142857142857,0.4928571428571428,6
119,245,.10,100,24,second,7,emily,27,0,0,0,1,0,1,0,60,10,1,0,1,0,3,4,3,3,1,3,2,5,3,4,5,3,5,4,5,3,4,5,5,4,4,5,5,6,5,6,5,5,6,5,1,0,1,1,1,1,0,0,1,NA,25,3,5,2,2,38145727,1,1,2,1,24,52,5,50,1,1,0.6,0.2857142857142857,0.44285714285714284,6
120,226,1.05,5 minutes,47 dyas,second,8,emily,0,0,1,1,1,1,1,1,500,10,1,1,1,0,2,4,4,5,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,19,3,5,1,2,96253303,1,1,6,2,30,16,8,12,1,1,0.75,0.8571428571428571,0.8035714285714286,10
121,428,.10,5 minutes,24,First,8,June,9,0,1,0,0,1,0,0,500,1,1,1,0,0,4,5,3,4,4,4,4,3,2,2,1,1,2,2,2,2,2,2,3,2,5,5,4,3,2,2,1,3,3,5,1,1,1,1,0,0,1,1,2,NA,44,1,5,5,2,16247176,1,1,2,1,31,33,6,23,1,1,0.775,0.2857142857142857,0.5303571428571429,7
122,491,.10,5,47,first,8,Emily,28,0,1,1,0,1,1,0,500,10,1,1,1,0,3,4,4,5,4,5,5,3,1,1,1,1,1,1,1,1,1,1,2,1,5,5,3,3,2,3,3,4,4,5,1,1,0,1,1,1,1,1,2,NA,58,1,5,2,3,41224417,1,1,4,2,33,37,7,13,1,1,0.825,0.5714285714285714,0.6982142857142857,9
124,440,.10,100,24,first,8,emily,27,0,0,0,0,1,1,0,half,1,.001,1,0,1,3,4,3,4,2,3,2,4,2,2,3,3,1,3,4,4,3,2,3,2,4,3,4,3,4,4,3,4,4,3,1,1,0,1,1,1,1,1,1,NA,21,5,8,1,2,69556409,1,1,2,2,25,36,7,32,1,1,0.625,0.2857142857142857,0.45535714285714285,9
125,439,.05,5 minutes,24 days,second,8,Emily,27 cubic feet,1,1,0,1,1,1,0,500,10,0.1%,1,1,1,3,4,4,4,4,3,4,2,3,3,3,4,4,4,4,4,3,3,4,4,5,3,2,2,3,2,2,3,2,3,1,1,1,1,1,1,1,1,1,NA,60,1,8,2,3,36932298,1,1,5,3,28,27,8,43,1,1,0.7,0.7142857142857143,0.7071428571428571,11
126,851,$0.10,100 minutes,47,second place,8,Emily,27 cubic feet,0,0,1,1,1,1,0,500,10,.1%,1,1,1,4,5,5,5,3,5,5,5,1,1,1,1,1,1,1,4,1,1,1,1,6,6,6,6,6,6,5,6,6,6,1,1,1,1,1,1,1,1,2,NA,28,1,7,2,3,16871647,1,1,4,3,37,59,8,15,1,1,0.925,0.5714285714285714,0.7482142857142857,11
127,507,0.10,100,96,1,7,emily,27,0,0,0,0,0,1,0,4,10,1,0,1,0,4,4,3,2,2,2,2,4,4,4,3,3,4,4,4,3,3,4,4,4,5,4,4,5,6,4,4,4,4,4,1,0,1,1,1,1,1,0,1,NA,35,3,5,2,2,30169945,1,1,1,1,23,44,6,44,1,1,0.575,0.14285714285714285,0.3589285714285714,7
128,340,0.05,5,47,second,8,Emily,9,1,1,1,1,1,1,0,500,10,0.1,1,1,0,5,5,5,5,1,1,5,5,5,5,5,3,3,5,5,5,5,1,5,5,1,1,6,1,1,6,1,1,6,1,0,1,1,1,0,1,1,1,1,NA,25,5,8,2,3,40500755,1,1,6,2,32,25,6,52,1,1,0.8,0.8571428571428571,0.8285714285714285,8
129,744,5,5,47,2nd,8,Emily,0,1,1,1,1,1,1,1,500,10,.1,1,1,0,2,5,5,5,5,4,5,4,4,4,1,1,1,2,1,2,2,2,3,4,6,1,4,3,2,2,1,2,3,3,1,1,1,1,1,1,1,1,1,NA,64,1,5,2,3,74142725,1,1,7,2,35,27,8,27,1,1,0.875,1,0.9375,10
130,380,.10,5,47,first,8,june,36,0,1,1,0,1,0,0,500,10,.1,1,1,0,4,5,4,5,2,5,5,4,5,5,2,1,1,4,4,4,4,2,5,5,4,4,1,1,1,1,1,4,4,5,1,1,0,1,1,1,1,1,2,NA,37,1,6,1,3,10183810,1,1,3,2,34,26,7,42,1,1,0.85,0.42857142857142855,0.6392857142857142,9
132,198,.1,100,47,second,8,Emily,27,0,0,1,1,1,1,0,500,10,.1,1,1,0,3,4,4,4,4,4,4,4,1,1,1,5,1,1,1,1,1,1,1,1,6,2,3,3,3,5,5,5,5,5,1,1,0,0,1,1,0,0,2,NA,31,1,8,1,3,57521766,1,1,4,2,31,42,4,16,1,1,0.775,0.5714285714285714,0.6732142857142858,6
133,366,10,100,24,first,7,June,3,0,0,0,0,0,0,0,1000,100,10,0,0,0,4,4,1,1,3,4,3,3,4,4,5,3,2,3,5,4,5,4,5,5,5,3,4,3,4,4,2,6,2,3,1,0,0,1,1,0,1,0,1,NA,35,3,8,2,3,76681686,1,1,0,0,23,36,4,49,1,1,0.575,0,0.2875,4
134,963,$0.10,100 minutes,24 days,Second,8,Emily,27,0,0,0,1,1,1,0,500,10,0.1 %,1,1,0,3,5,5,5,5,3,5,4,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,1,1,3,1,1,4,3,1,1,1,1,1,1,1,1,1,NA,30,1,7,1,2,92184300,1,1,3,2,35,29,8,12,1,1,0.875,0.42857142857142855,0.6517857142857143,10
135,289,.1,5,47,second,8,emily,0,0,1,1,1,1,1,1,499,10,.1,0,1,0,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,4,3,3,3,3,4,3,4,3,3,3,3,4,1,1,0,1,1,1,1,0,1,NA,25,1,8,1,3,30222904,1,1,6,1,24,33,6,35,1,1,0.6,0.8571428571428571,0.7285714285714285,7
136,341,.10,100 minutes,24 days,First,7,June,27,0,0,0,0,0,0,0,500,10,0.01,1,1,0,3,4,4,4,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,2,NA,21,2,5,1,6,78888329,1,1,0,2,27,20,2,24,1,1,0.675,0,0.3375,4
137,531,0.10,100,24,first,8,Emily,3,0,0,0,0,1,1,0,20,1,1,0,0,0,2,4,4,5,5,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,4,1,1,0,1,1,1,1,1,2,NA,34,1,9,2,5,46204647,1,1,2,0,30,18,7,12,1,1,0.75,0.2857142857142857,0.5178571428571428,7
138,811,$0.10,100 minutes,47 days,second place,8,Emily,0,0,0,1,1,1,1,1,500,10,0.1%,1,1,1,3,4,5,4,3,4,4,1,1,1,1,1,1,1,1,1,2,1,3,1,6,3,4,5,5,4,4,5,6,6,1,1,1,1,1,1,1,0,2,NA,20,5,7,1,2,68220424,1,1,5,3,28,48,7,15,1,1,0.7,0.7142857142857143,0.7071428571428571,10
140,649,0.10,100,24,second,7,emily,27,0,0,0,1,0,1,0,600,10,0.1,0,1,0,4,3,4,4,2,2,4,1,2,2,1,3,1,1,4,2,2,1,2,2,5,2,5,5,2,4,4,5,5,5,1,1,1,1,1,1,1,0,1,NA,37,3,9,2,3,4044932,1,1,2,1,24,42,7,23,1,1,0.6,0.2857142857142857,0.44285714285714284,8
141,389,.10,100,47,2nd,8,emily,3,0,0,1,1,1,1,0,500,100,.1,1,0,0,4,3,4,2,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,2,2,1,2,3,3,1,1,1,0,1,1,1,1,2,NA,33,1,7,2,4,8860817,1,1,4,1,27,25,7,12,1,1,0.675,0.5714285714285714,0.6232142857142857,8
142,368,.10,5,24,1,8,Emily,3,0,1,0,0,1,1,0,500,1,1000,1,0,0,2,3,3,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,1,0,1,1,1,1,0,2,NA,44,1,5,3,3,42071817,1,1,3,1,22,40,5,24,1,1,0.55,0.42857142857142855,0.4892857142857143,6
143,547,.10,5 minutes,47,second,8,Emily,3,0,1,1,1,1,1,0,500,10,0.001,1,1,1,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,1,0,1,NA,52,1,7,2,1,86772473,1,1,5,3,24,20,6,60,1,1,0.6,0.7142857142857143,0.6571428571428571,9
144,303,0.1,5,47,3,8,June,3,0,1,1,0,1,0,0,500,10,0.1,1,1,0,5,4,5,4,4,4,5,5,1,1,2,2,2,1,2,1,1,3,1,1,6,6,5,4,4,6,6,6,6,6,1,1,1,1,1,1,1,0,1,NA,32,1,9,2,3,56412667,1,1,3,2,36,55,7,18,1,1,0.9,0.42857142857142855,0.6642857142857143,9
145,991,1.05,5 minutes,47 days,second,8,Emily,0,0,1,1,1,1,1,1,500,10,.1,1,1,0,3,5,5,5,3,3,5,4,1,1,1,1,1,1,1,1,1,4,1,1,4,4,4,4,2,3,1,1,3,3,1,1,1,1,1,1,1,1,1,NA,26,5,8,1,6,77822989,1,1,6,2,33,29,8,15,1,1,0.825,0.8571428571428571,0.8410714285714285,10
147,293,.10,100,24,first,8,Emily,9,0,0,0,0,1,1,0,500,100,.1,1,0,0,3,5,3,4,3,3,4,3,4,4,4,4,3,5,5,4,5,3,4,5,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,2,NA,40,1,8,2,2,52235609,1,1,2,1,28,15,7,50,1,1,0.7,0.2857142857142857,0.4928571428571428,8
148,379,0.05,5,47,first,8,June,27,1,1,1,0,1,0,0,500,10,0.1,1,1,0,3,4,4,5,4,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,4,3,6,6,6,6,6,1,1,1,1,1,1,1,1,1,NA,57,1,8,1,2,84570562,1,1,4,2,33,55,8,12,1,1,0.825,0.5714285714285714,0.6982142857142857,10
149,322,.10,5 minutes,47,second,8,Emily,27,0,1,1,1,1,1,0,500,10,1,1,1,0,4,4,5,4,4,3,4,3,4,4,2,2,4,2,4,4,2,4,4,4,6,5,4,4,3,4,4,3,5,5,1,1,1,1,1,1,1,1,2,NA,31,1,7,1,2,99520078,1,1,5,2,31,43,8,40,1,1,0.775,0.7142857142857143,0.7446428571428572,10
150,337,0.05,100,24 days,first,8,June,27,1,0,0,0,1,0,0,500,10,0.1%,1,1,1,3,5,5,5,4,4,5,4,1,1,1,1,1,1,1,1,1,1,4,1,6,5,5,5,5,6,5,6,6,6,1,1,1,1,1,1,1,1,2,NA,25,1,8,1,4,88892671,1,1,2,3,35,55,8,15,1,1,0.875,0.2857142857142857,0.5803571428571428,11
151,316,.10,5,47,2nd,8,Emily,27,0,1,1,1,1,1,0,500,10,.1%,1,1,1,5,5,2,3,2,1,4,4,1,1,1,1,1,1,5,2,1,1,1,1,5,6,5,6,4,6,5,6,5,6,1,1,1,1,1,1,0,1,1,NA,30,5,8,2,5,5895006,1,1,5,3,26,54,7,17,1,1,0.65,0.7142857142857143,0.6821428571428572,10
152,173,10,100,24,2,8,June,49,0,0,0,0,1,0,0,500,10,10,1,1,0,2,1,5,4,2,2,5,5,1,4,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,5,6,4,5,4,1,0,1,1,1,1,0,0,1,NA,31,1,6,1,2,62379878,1,1,1,2,26,31,5,18,1,1,0.65,0.14285714285714285,0.39642857142857146,7
153,593,0.10,100,24,2,7,June,27,0,0,0,0,0,0,0,500,0.001,0.001,1,0,1,2,4,3,1,3,5,3,5,2,5,4,3,2,5,4,3,2,2,3,5,2,4,3,5,6,1,5,3,2,4,1,0,1,1,1,1,1,0,2,NA,54,4,8,2,2,86723482,1,1,0,2,26,35,6,40,1,1,0.65,0,0.325,8
154,227,0.5,100,12,2,8,June,27,0,0,0,0,1,0,0,500,10,1,1,1,0,4,4,4,1,1,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,NA,25,1,5,1,2,41819110,1,1,1,2,21,50,8,48,1,1,0.525,0.14285714285714285,0.33392857142857146,10
155,981,0.10,100,24,first,7,Emily,3,0,0,0,0,0,1,0,600,10,10,0,1,0,4,3,4,2,3,2,2,4,4,4,4,3,3,3,3,4,4,3,4,4,5,4,4,5,5,4,5,5,5,5,1,0,0,1,1,0,1,0,1,NA,38,1,8,5,3,1103274,1,1,1,1,24,47,4,43,1,1,0.6,0.14285714285714285,0.37142857142857144,5
156,336,.1,100,24,second,7,Emily,27,0,0,0,1,0,1,0,500,10,.1,1,1,0,3,5,3,5,3,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,2,NA,20,1,5,1,1,59532794,1,1,2,2,32,60,8,12,1,1,0.8,0.2857142857142857,0.5428571428571429,10
157,1155,0.05,100,24,second,8,Emily,0,1,0,0,1,1,1,1,1000,10,0.1,0,1,0,4,3,2,5,2,3,4,3,2,2,2,2,2,2,3,3,2,2,3,2,2,2,5,4,2,2,2,2,2,3,0,0,1,0,1,1,1,1,1,NA,34,3,7,1,2,36727865,1,1,5,1,26,26,5,27,1,1,0.65,0.7142857142857143,0.6821428571428572,6
158,231,.05,5 minutes,47,2nd place,7,Emily,27,1,1,1,1,0,1,0,600,10,.1,0,1,0,4,4,3,2,2,2,2,3,4,5,4,4,4,3,3,5,4,4,4,4,5,4,4,4,5,5,4,5,5,5,1,1,1,1,1,1,1,1,1,NA,31,1,8,2,3,22620834,1,1,5,1,22,46,8,48,1,1,0.55,0.7142857142857143,0.6321428571428571,9
160,631,0.10,100,96,First place,7,June,9,0,0,0,0,0,0,0,4,100,10,0,0,0,4,5,5,1,2,1,5,5,4,5,1,1,4,5,4,5,5,4,5,5,5,6,5,6,6,5,6,5,6,6,1,0,0,1,0,1,1,0,2,NA,29,4,9,2,3,97476097,1,1,0,0,28,56,4,48,1,1,0.7,0,0.35,4
161,246,0.10,5,47,2,8,Emily,27,0,1,1,0,1,1,0,500,1,10,1,0,0,5,5,5,5,4,4,4,5,1,1,1,5,1,1,1,1,1,1,1,1,4,4,4,4,2,4,3,3,4,4,0,1,1,1,1,1,1,1,1,NA,52,1,5,1,3,31410855,1,1,4,1,37,36,7,16,1,1,0.925,0.5714285714285714,0.7482142857142857,8
162,364,0.10,100,24,First,7,June,18,0,0,0,0,0,0,0,333,0.001,0.001,0,0,1,4,5,5,5,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,6,6,5,4,6,6,6,1,1,1,0,1,1,0,0,2,NA,21,5,5,1,3,78261262,1,1,0,1,32,52,5,12,1,1,0.8,0,0.4,6
163,462,.1,5,47,2,8,Emily,27,0,1,1,0,1,1,0,500,10,.1,1,1,0,4,4,4,4,3,3,3,3,4,4,2,2,2,3,3,4,2,2,3,2,2,4,2,2,2,2,2,2,2,2,1,1,0,1,1,1,1,1,2,NA,35,1,8,2,3,86821907,1,1,4,2,28,22,7,33,1,1,0.7,0.5714285714285714,0.6357142857142857,9
165,388,$0.10,5 minutes,47,First,8,Emily,3,0,1,1,0,1,1,0,500,10,.1,1,1,0,4,3,4,4,2,2,2,3,1,1,2,1,2,2,2,2,2,2,2,2,5,4,4,4,5,5,4,4,4,5,1,1,0,1,1,1,1,0,2,NA,23,1,5,2,2,6523989,1,1,4,2,24,44,6,21,1,1,0.6,0.5714285714285714,0.5857142857142856,8
